253;Rui Costa;Attacking Midfield;29
254;Lilian Thuram;Centre-Back;29
255;Pavel Nedved;Left Midfield;28
256;Filippo Inzaghi;Centre-Forward;27
257;Javier Saviola;Second Striker;19
258;Ruud van Nistelrooy;Centre-Forward;25
259;Antonio Cassano;Second Striker;18
260;Hidetoshi Nakata;Attacking Midfield;24
261;Francesco Toldo;Goalkeeper;29
262;Jaap Stam;Centre-Back;29
263;Márcio Amoroso;Centre-Forward;27
264;Stefano Fiore;Attacking Midfield;26
265;Marcelo Salas;Centre-Forward;26
266;Geovanni;Attacking Midfield;21
267;Andrea Pirlo;Defensive Midfield;22
268;Sérgio Conceição;Right Winger;26
269;Robbie Keane;Centre-Forward;20
270;Sergio;Central Midfield;24
271;Steve Marlet;Centre-Forward;27
272;Philippe Christanval;Centre-Back;22
273;Evanilson;Right-Back;25
274;Robbie Fowler;Centre-Forward;26
275;Frank Lampard;Central Midfield;23
276;Javi Moreno;Centre-Forward;26
277;Luca Toni;Centre-Forward;24
278;Cristian Zenoni;Right-Back;24
279;Darko Kovacevic;Centre-Forward;27
280;Michalis Konstantinou;Centre-Forward;23
281;Massimo Donati;Defensive Midfield;20
282;Laurent Robert;Left Winger;26
283;Ivan Pelizzoli;Goalkeeper;20
284;Giovanni van Bronckhorst;Left-Back;26
285;Adriano;Centre-Forward;19
286;Mohamed Kallon;Centre-Forward;21
287;Goran Drulic;Centre-Forward;24
288;Andy Cole;Centre-Forward;30
289;Dean Richards;Centre-Back;27
290;Simão;Left Winger;21
291;Éric Carrière;Attacking Midfield;28
292;Daniel Van Buyten;Centre-Back;23
293;Seth Johnson;Central Midfield;22
294;Emmanuel Petit;Defensive Midfield;30
295;Juan Carlos Valerón;Attacking Midfield;26
296;Cristiano Zanetti;Defensive Midfield;24
297;Diego Forlán;Second Striker;22
298;Mario Turdó;Centre-Forward;22
299;Salva Ballesta;Centre-Forward;26
300;Corrado Grabbi;Centre-Forward;25
301;Jan Koller;Centre-Forward;28
302;Marco Materazzi;Centre-Back;27
303;Edwin van der Sar;Goalkeeper;30
304;Martin Djetou;Centre-Back;26
305;Gareth Southgate;Centre-Back;30
306;Michael Ball;Left-Back;21
307;Hugo Leal;Central Midfield;21
308;William Gallas;Centre-Back;23
309;Martin Laursen;Centre-Back;23
310;John Hartson;Centre-Forward;26
311;Fábio Rochemback;Central Midfield;19
312;Lucas Bernardi;Central Midfield;23
313;Richard Wright;Goalkeeper;23
314;Péguy Luyindula;Centre-Forward;22
315;Edú Gaspar;Central Midfield;23
316;Flavio Roma;Goalkeeper;27
317;Jan Vennegoor of Hesselink;Centre-Forward;22
318;Tomás Repka;Centre-Back;27
319;Chris Kirkland;Goalkeeper;20
320;Claudio Pizarro;Centre-Forward;22
321;Alex;Attacking Midfield;23
322;Darko Kovacevic;Centre-Forward;28
323;Boudewijn Zenden;Left Winger;24
324;Patrik Andersson;Centre-Back;29
325;Bosko Balaban;Centre-Forward;22
326;Hugo Ibarra;Right-Back;27
327;Zlatan Ibrahimovic;Centre-Forward;19
328;Jermaine Jenas;Central Midfield;18
329;Fernando Meira;Centre-Back;23
330;Jason Euell;Second Striker;24
331;Giuliano Giannichedda;Defensive Midfield;26
332;Robert Kovac;Centre-Back;27
333;Jon Macken;Centre-Forward;24
334;Frédéric Née;Centre-Forward;26
335;Don Hutchison;Attacking Midfield;30
336;Lee Hughes;Centre-Forward;25
337;Peter Crouch;Centre-Forward;21
338;Jerzy Dudek;Goalkeeper;28
339;Ewerthon;Centre-Forward;20
340;Marcelinho Paraíba;Attacking Midfield;26
341;Javier Chevantón;Centre-Forward;20
342;Cosmin Contra;Right-Back;25
343;Camel Meriem;Attacking Midfield;22
344;Jesper Blomqvist;Left Midfield;27
345;Nelson Vivas;Right-Back;31
346;Milan Baros;Centre-Forward;20
347;Olof Mellberg;Centre-Back;23
348;Szilard Nemeth;Second Striker;23
349;Tomasz Radzinski;Centre-Forward;27
350;Claudio Reyna;Central Midfield;28
351;Steed Malbranque;Central Midfield;21
352;Christian Ziege;Left Midfield;29
353;Joan Capdevila;Left-Back;23
354;Matteo Sereni;Goalkeeper;26
355;Bart Goor;Left Midfield;28
356;John Arne Riise;Left-Back;20
357;Alex;Attacking Midfield;24
358;Luke Young;Right-Back;21
359;Rory Delap;Central Midfield;25
360;Goran Bunjevcevic;Centre-Back;28
361;Antonio Guayre;Right Winger;21
362;Gonzalo Sorondo;Centre-Back;21
363;Zoltan Sebescen;Right-Back;25
364;Lamberto Zauli;Attacking Midfield;30
365;Agustín Delgado;Centre-Forward;27
366;Joey Gudjónsson;Central Midfield;21
367;Bernardo Romeo;Centre-Forward;24
368;Paulo Wanchope;Centre-Forward;24
369;Didier Domi;Left-Back;23
370;Niko Kovac;Defensive Midfield;29
371;Shinji Ono;Attacking Midfield;21
372;Marius Niculae;Centre-Forward;20
373;Sylvain Legwinski;Left Midfield;28
374;Jon Harley;Left-Back;21
375;Nicolás Medina;Defensive Midfield;19
376;Ronaldinho;Attacking Midfield;21
377;Victor Agali;Centre-Forward;22
378;Nihat Kahveci;Centre-Forward;22
379;César;Left Midfield;26
380;Christian Panucci;Right-Back;28
381;Ezequiel González;Attacking Midfield;20
382;Mantorras;Centre-Forward;19
383;Eduardo Costa;Defensive Midfield;18
384;Ümit Davala;Right Midfield;28
385;Sander Westerveld;Goalkeeper;27
386;Lilian Laslandes;Centre-Forward;29
387;João Tomás;Centre-Forward;26
388;Delfim;Central Midfield;24
389;Jörg Albertz;Left Midfield;30
390;David James;Goalkeeper;30
391;Aníbal Matellán;Centre-Back;24
392;Jérôme Rothen;Left Midfield;23
393;Shota Arveladze;Centre-Forward;28
394;Marcus Bent;Centre-Forward;23
395;Jardel;Centre-Forward;27
396;Patrick M'Boma;Centre-Forward;31
397;Matthew Jones;Central Midfield;20
398;James Scowcroft;Centre-Forward;25
399;Kenny Miller;Centre-Forward;22
400;Jacek Bak;Centre-Back;28
401;Mido;Centre-Forward;18
402;Pablo Contreras;Centre-Back;22
403;Finidi George;Right Winger;30
404;François Grenet;Right-Back;26
405;Lincoln;Attacking Midfield;22
406;Brahim Hemdani;Defensive Midfield;23
407;Mustapha Hadji;Attacking Midfield;29
408;Alberto Gilardino;Centre-Forward;19
409;Mario Yepes;Centre-Back;25
410;Sylvinho;Left-Back;27
411;John de Jong;Attacking Midfield;24
412;Toifilou Maoulida;Centre-Forward;22
413;Tobias Linderoth;Defensive Midfield;22
414;Ilhan Mansiz;Centre-Forward;26
415;Ian Walker;Goalkeeper;29
416;Gabriel Heinze;Centre-Back;23
417;Maxwell;Left-Back;19
418;Vitali Kutuzov;Centre-Forward;21
419;Yksel Osmanovski;Left Midfield;24
420;Jorge Bermúdez;Centre-Back;30
421;Gustavo Poyet;Attacking Midfield;33
422;Abdeslam Ouaddou;Centre-Back;22
423;Stelios Venetidis;Left-Back;24
424;Jihai Sun;Centre-Back;24
425;Martin Petrov;Left Winger;22
426;Yildiray Bastürk;Attacking Midfield;22
427;Sebastian Kehl;Defensive Midfield;21
428;Olivier Monterrubio;Left Midfield;24
429;Diego Klimowicz;Centre-Forward;27
430;Christian Giménez;Centre-Forward;26
431;Ahmed Hassan;Attacking Midfield;26
432;Olivier Sorlin;Defensive Midfield;22
433;Rolan Gusev;Right Midfield;24
434;Nils-Eric Johansson;Left-Back;21
435;Mark Kennedy;Left-Back;25
436;Christian Nerlinger;Defensive Midfield;28
437;Hakan Ünsal;Left-Back;28
438;Christian Karembeu;Defensive Midfield;30
439;Alberto Fontana;Goalkeeper;34
440;Jason McAteer;Right Midfield;30
441;Marco Reich;Left Midfield;23
442;Roy Carroll;Goalkeeper;23
443;Jonathan Greening;Central Midfield;22
444;Zizi Roberts;Centre-Forward;22
445;Miroslav Karhan;Central Midfield;25
446;Francisco Rojas;Right-Back;26
447;Colin Cameron;Central Midfield;28
448;Brett Ormerod;Centre-Forward;25
449;Tiago;Central Midfield;20
450;Ümit Karan;Centre-Forward;24
451;Ali Karimi;Attacking Midfield;22
452;Daniel Andersson;Centre-Back;23
453;Fatih Akyel;Right-Back;23
454;Pierre van Hooijdonk;Centre-Forward;31
455;Vladimir Janocko;Attacking Midfield;24
456;Luigi Sala;Centre-Back;27
457;Pascal Nouma;Centre-Forward;29
458;Jurgen Cavens;Centre-Forward;22
459;Peter Thorne;Centre-Forward;28
460;Daniel Rossi;Defensive Midfield;20
461;Dennis Wise;Defensive Midfield;34
462;Luís Boa Morte;Left Midfield;23
463;Mark Wilson;Central Midfield;22
464;Joonas Kolkka;Right Winger;26
465;Bruno Basto;Left-Back;23
466;Mehdi Mahdavikia;Right Midfield;23
467;Mate Bilic;Centre-Forward;20
468;Lucién Mettomo;Centre-Back;24
469;Markus Weissenberger;Attacking Midfield;26
470;Nathan Blake;Centre-Forward;29
471;Thomas Hengen;Sweeper;26
472;Edwin Zoetebier;Goalkeeper;31
473;Christian Negouai;Defensive Midfield;23
474;Denis Lapaczinski;Defensive Midfield;19
475;Mark Draper;Attacking Midfield;30
476;Peter Crouch;Centre-Forward;20
477;Danny Dichio;Centre-Forward;26
478;Joachim Björklund;Centre-Back;30
479;Fredrik Berglund;Centre-Forward;22
480;Pieter Collen;Centre-Back;21
481;Yann Lachuer;Attacking Midfield;28
482;Nenad Jestrovic;Centre-Forward;25
483;Mbo Mpenza;Centre-Forward;25
484;Andrés Fleurquín;Defensive Midfield;26
485;Johan Walem;Left Midfield;29
486;Yobanny Rivero;Right Midfield;20
487;Claudio Taffarel;Goalkeeper;35
488;Marc Wilmots;Attacking Midfield;32
489;Gheorghe Popescu;Centre-Back;33
490;Winston Parks;Centre-Forward;19
491;Tugay Kerimoglu;Defensive Midfield;30
492;Ulrich Le Pen;Left Winger;27
493;Papa Bouba Diop;Defensive Midfield;23
494;Nathan Ellington;Centre-Forward;20
495;Adékambi Olufadé;Right Winger;21
496;John Aloisi;Centre-Forward;25
497;Thomas Gaardsöe;Centre-Back;22
498;Rio Ferdinand;Centre-Back;23
499;Ronaldo;Centre-Forward;25
500;Hernán Crespo;Centre-Forward;27
501;Alessandro Nesta;Centre-Back;26
502;Fabio Cannavaro;Centre-Back;28
503;Clarence Seedorf;Central Midfield;26
504;Francesco Coco;Left-Back;25
505;Matías Almeyda;Defensive Midfield;28
506;Marco Di Vaio;Centre-Forward;26
507;Nicolas Anelka;Centre-Forward;23
508;Albert Luque;Left Winger;24
509;El-Hadji Diouf;Centre-Forward;21
510;Adriano;Centre-Forward;20
511;Jonathan Woodgate;Centre-Back;23
512;Jorge Andrade;Centre-Back;24
513;Javi Moreno;Centre-Forward;27
514;Hugo Viana;Central Midfield;19
515;Massimo Maccarone;Centre-Forward;22
516;Alberto Gilardino;Centre-Forward;20
517;Martin Laursen;Centre-Back;24
518;Tore André Flo;Centre-Forward;29
519;Roberto Acuña;Central Midfield;30
520;André Luiz;Attacking Midfield;27
521;Robbie Keane;Centre-Forward;21
522;Adrian Mutu;Centre-Forward;23
523;Juan Riquelme;Attacking Midfield;24
524;Bernardo Corradi;Centre-Forward;26
525;Robbie Fowler;Centre-Forward;27
526;Zé Roberto;Left Midfield;28
527;Sebastian Deisler;Right Midfield;22
528;Jean-Claude Darcheville;Centre-Forward;26
529;Lee Hughes;Centre-Forward;26
530;Mauro Germán Camoranesi;Right Midfield;25
531;Torsten Frings;Defensive Midfield;25
532;França;Centre-Forward;26
533;Mikel Arteta;Central Midfield;20
534;Ricardinho;Attacking Midfield;26
535;Fabrizio Miccoli;Centre-Forward;23
536;Salif Diao;Defensive Midfield;25
537;Matías Vuoso;Centre-Forward;20
538;Christian Poulsen;Defensive Midfield;22
539;Mark Bresciano;Central Midfield;22
540;Gilberto Silva;Defensive Midfield;25
541;George Boateng;Defensive Midfield;26
542;Juninho Paulista;Attacking Midfield;29
543;Titus Bramble;Centre-Back;20
544;Bruno Cheyrou;Central Midfield;24
545;Ariel Ortega;Attacking Midfield;28
546;Émerson;Defensive Midfield;30
547;Jan Simak;Attacking Midfield;23
548;Clinton Morrison;Centre-Forward;23
549;Frank Rost;Goalkeeper;29
550;Rubén Olivera;Central Midfield;19
551;Michael Ballack;Central Midfield;25
552;Sylvain Distin;Centre-Back;24
553;Maxi Rodríguez;Left Winger;21
554;Ariza Makukula;Centre-Forward;21
555;Richard Wright;Goalkeeper;24
556;Leandro Bonfim;Attacking Midfield;18
557;Gary Rowett;Right-Back;28
558;Matt Piper;Right Midfield;20
559;Michael Ricketts;Centre-Forward;24
560;Ji-seong Park;Attacking Midfield;21
561;Dario Simic;Centre-Back;26
562;Matteo Brighi;Central Midfield;21
563;Petr Cech;Goalkeeper;20
564;Marcus Stewart;Centre-Forward;29
565;Carlos Paredes;Defensive Midfield;25
566;Stephen Appiah;Central Midfield;21
567;Emiliano Bonazzoli;Centre-Forward;23
568;Stephen Wright;Right-Back;22
569;David Sommeil;Centre-Back;27
570;Faryd Mondragón;Goalkeeper;31
571;Diogo Rincón;Attacking Midfield;22
572;Nick Barmby;Left Midfield;28
573;Victor Sikora;Right Winger;24
574;Fabio Bazzani;Centre-Forward;25
575;Michael Lamey;Right-Back;22
576;Arjen Robben;Right Winger;18
577;Daniel Bierofka;Left Midfield;23
578;Georgi Ivanov;Centre-Forward;26
579;Patrice Evra;Left-Back;21
580;Cristian Ledesma;Central Midfield;23
581;Darío Rodríguez;Left-Back;27
582;Chong-gug Song;Right-Back;23
583;Mahamadou Diarra;Defensive Midfield;21
584;Pascal Cygan;Centre-Back;28
585;Franck Queudrue;Left-Back;23
586;David Prutton;Central Midfield;21
587;Mart Poom;Goalkeeper;30
588;Pascal Nouma;Centre-Forward;30
589;Marek Jankulovski;Left-Back;25
590;Dwight Yorke;Centre-Forward;30
591;Dagui Bakari;Centre-Forward;27
592;Juan;Centre-Back;23
593;Luís Fabiano;Centre-Forward;21
594;Jason Koumas;Attacking Midfield;22
595;Jiri Stajner;Second Striker;26
596;Jiri Jarosik;Centre-Back;25
597;Dmitri Sychev;Centre-Forward;19
598;Angelos Charisteas;Centre-Forward;22
599;Cosmin Contra;Right-Back;26
600;Antti Niemi;Goalkeeper;30
601;Rodrigo Fabri;Central Midfield;26
602;Federico Insúa;Attacking Midfield;23
603;Michael Svensson;Centre-Back;26
604;Marcus Allbäck;Centre-Forward;29
605;Grigoris Georgatos;Left-Back;29
606;Nuno Espírito Santo;Goalkeeper;28
607;Facundo Sava;Centre-Forward;28
608;Remco van der Schaaf;Centre-Back;23
609;Souza;Attacking Midfield;27
610;Richard Dutruel;Goalkeeper;29
611;Lee Carsley;Defensive Midfield;28
612;Ali Lukunku;Centre-Forward;26
613;Samuele Dalla Bona;Central Midfield;21
614;Ulises de la Cruz;Right-Back;28
615;Morten Skoubo;Centre-Forward;22
616;David Villa;Centre-Forward;21
617;Gabriel Loeschbor;Centre-Back;25
618;Manuel Friedrich;Centre-Back;22
619;Sasa Bjelanovic;Centre-Forward;23
620;Vladimir Manchev;Centre-Forward;24
621;Hervé Nzelo-Lembi;Centre-Back;26
622;Federico Giunti;Defensive Midfield;30
623;Carsten Jancker;Centre-Forward;27
624;Mario Frick;Centre-Forward;27
625;Sean Gregan;Centre-Back;28
626;Anthony Le Tallec;Centre-Forward;17
627;Edgaras Jankauskas;Centre-Forward;28
628;David Thompson;Right Midfield;24
629;Danny Higginbotham;Centre-Back;24
630;Aliou Cissé;Defensive Midfield;26
631;Ulrik Laursen;Centre-Back;26
632;Magnus Hedman;Goalkeeper;29
633;Clayton Zane;Centre-Forward;24
634;Ricardo;Goalkeeper;30
635;Chris Riggott;Centre-Back;22
636;Stefan Postma;Goalkeeper;26
637;Rade Prica;Centre-Forward;22
638;Christoph Preuß;Defensive Midfield;21
639;Paulo Ferreira;Right-Back;23
640;Olivier Thomert;Left Midfield;22
641;Gustavo Varela;Right Midfield;24
642;Hanno Balitsch;Defensive Midfield;21
643;René-Salomon Olembé;Left Midfield;21
644;Kemal Aslan;Central Midfield;21
645;Julio Hernán Rossi;Centre-Forward;25
646;Boris Smiljanic;Centre-Back;25
647;Sixto Peralta;Central Midfield;23
648;Aleksandar Rankovic;Right-Back;23
649;Sergio Hellings;Defender;17
650;Mazhar Abdelrahman;Forward;25
651;Matthew Clarke;Goalkeeper;28
652;Shunsuke Nakamura;Attacking Midfield;24
653;Danny;Attacking Midfield;18
654;Luis Jiménez;Attacking Midfield;18
655;Robbie Savage;Central Midfield;27
656;Espen Baardsen;Goalkeeper;25
657;Jamie Clapham;Left-Back;27
658;Arne Friedrich;Centre-Back;23
659;Christian;Centre-Forward;27
660;Sigurd Rushfeldt;Centre-Forward;29
661;Winston Parks;Centre-Forward;21
662;Hüseyin Cimsir;Defensive Midfield;23
663;Juan Fernández;Right-Back;22
664;Massimo Oddo;Right-Back;26
665;Alex Frei;Centre-Forward;23
666;Clemens Fritz;Central Midfield;21
667;Marco Caneira;Centre-Back;23
668;Riadh Bouazizi;Defensive Midfield;29
669;Adrian Ilie;Centre-Forward;28
670;Vladislav Radimov;Central Midfield;27
671;Cyril Jeunechamp;Defensive Midfield;27
672;Washington;Centre-Forward;27
673;Andy Todd;Centre-Back;27
674;Darren Ambrose;Left Midfield;19
675;Nicolás Pavlovich;Centre-Forward;24
676;Sebastián Pardo;Central Midfield;21
677;Cyril Domoraud;Centre-Back;30
678;David Fernández;Attacking Midfield;26
679;Matthew Upson;Centre-Back;23
680;Blaise Nkufo;Centre-Forward;27
681;Kevin Vandenbergh;Centre-Forward;19
682;Bill Tchato;Left-Back;27
